"Species","Scenario","Metric","Type","FDR","Year","Value","Lower","Upper","Source"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,0,1,1,1,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,1,0.99826860858438,0.99826860858438,0.99826860858438,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,2,0.994539578080038,0.994539578080038,0.994539578080038,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,3,0.988667944899998,0.988667944899998,0.988667944899998,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,4,0.980527487845888,0.980527487845888,0.980527487845888,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,5,0.970014374297071,0.970014374297071,0.970014374297071,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,6,0.9570509621848,0.9570509621848,0.9570509621848,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,7,0.941590145668351,0.941590145668351,0.941590145668351,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,8,0.923619659450676,0.923619659450676,0.923619659450676,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,9,0.903165981920044,0.903165981920044,0.903165981920044,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,10,0.880297929009202,0.880297929009202,0.880297929009202,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,11,0.855129980038588,0.855129980038588,0.855129980038588,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,12,0.827825151233256,0.827825151233256,0.827825151233256,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,13,0.798597055262096,0.798597055262096,0.798597055262096,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,14,0.767710744802578,0.767710744802578,0.767710744802578,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,15,0.735481902521925,0.735481902521925,0.735481902521925,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,16,0.702273925260971,0.702273925260971,0.702273925260971,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,17,0.678179358866527,0.678179358866527,0.678179358866527,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,18,0.661342307044447,0.661342307044447,0.661342307044447,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,19,0.650388112379422,0.650388112379422,0.650388112379422,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.6,20,0.644285826372833,0.644285826372833,0.644285826372833,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,0,1,1,1,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,1,0.99826860858438,0.99826860858438,0.99826860858438,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,2,0.994539578080038,0.994539578080038,0.994539578080038,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,3,0.988667944899998,0.988667944899998,0.988667944899998,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,4,0.980527487845888,0.980527487845888,0.980527487845888,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,5,0.970014374297071,0.970014374297071,0.970014374297071,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,6,0.9570509621848,0.9570509621848,0.9570509621848,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,7,0.941590145668351,0.941590145668351,0.941590145668351,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,8,0.923619659450676,0.923619659450676,0.923619659450676,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,9,0.903165981920044,0.903165981920044,0.903165981920044,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,10,0.880297929009202,0.880297929009202,0.880297929009202,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,11,0.855129980038588,0.855129980038588,0.855129980038588,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,12,0.827825151233256,0.827825151233256,0.827825151233256,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,13,0.807572091321008,0.807572091321008,0.807572091321008,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,14,0.793196746803209,0.793196746803209,0.793196746803209,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,15,0.783780188623432,0.783780188623432,0.783780188623432,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,16,0.778593696721971,0.778593696721971,0.778593696721971,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,17,0.777051053999722,0.777051053999722,0.777051053999722,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,18,0.778672880673109,0.778672880673109,0.778672880673109,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,19,0.783059290076554,0.783059290076554,0.783059290076554,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.7,20,0.789869787692034,0.789869787692034,0.789869787692034,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,0,1,1,1,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,1,0.99826860858438,0.99826860858438,0.99826860858438,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,2,0.994539578080038,0.994539578080038,0.994539578080038,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,3,0.988667944899998,0.988667944899998,0.988667944899998,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,4,0.980527487845888,0.980527487845888,0.980527487845888,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,5,0.970014374297071,0.970014374297071,0.970014374297071,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,6,0.9570509621848,0.9570509621848,0.9570509621848,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,7,0.941590145668351,0.941590145668351,0.941590145668351,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,8,0.923619659450676,0.923619659450676,0.923619659450676,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,9,0.903165981920044,0.903165981920044,0.903165981920044,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,10,0.888186219361238,0.888186219361238,0.888186219361238,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,11,0.877888700837335,0.877888700837335,0.877888700837335,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,12,0.871631027262533,0.871631027262533,0.871631027262533,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,13,0.868884647291346,0.868884647291346,0.868884647291346,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,14,0.86920831891859,0.86920831891859,0.86920831891859,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,15,0.872227871112151,0.872227871112151,0.872227871112151,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,16,0.877620381239091,0.877620381239091,0.877620381239091,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,17,0.885102435229657,0.885102435229657,0.885102435229657,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,18,0.89442194387098,0.89442194387098,0.89442194387098,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,19,0.90535248143514,0.90535248143514,0.90535248143514,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.8,20,0.917689211603549,0.917689211603549,0.917689211603549,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.9,0,1,1,1,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.9,1,0.99826860858438,0.99826860858438,0.99826860858438,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.9,2,0.994539578080038,0.994539578080038,0.994539578080038,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.9,3,0.988667944899998,0.988667944899998,0.988667944899998,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.9,4,0.980527487845888,0.980527487845888,0.980527487845888,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.9,5,0.970014374297071,0.970014374297071,0.970014374297071,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.9,6,0.963224342629345,0.963224342629345,0.963224342629345,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.9,7,0.95969410784852,0.95969410784852,0.95969410784852,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.9,8,0.959031198040423,0.959031198040423,0.959031198040423,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.9,9,0.960898376687358,0.960898376687358,0.960898376687358,"Deterministic"
"Canary Rockfish","Recruitment","Relative Biomass","Static",0.9,10,0.965001816283007,0.965001816283007,0.965001816283007,"Deterministic"
