"","Species","Scenario","Metric","Type","FDR","Year","Value","Lower","Upper","Source"
"381","Canary Rockfish","Recruitment","Relative Biomass","Static","0.7",16,0.778593696721971,0.778593696721971,0.778593696721971,"Deterministic"
"391","Canary Rockfish","Recruitment","Relative Biomass","Static","0.7",17,0.777051053999722,0.777051053999722,0.777051053999722,"Deterministic"
"401","Canary Rockfish","Recruitment","Relative Biomass","Static","0.7",18,0.778672880673109,0.778672880673109,0.778672880673109,"Deterministic"
"411","Canary Rockfish","Recruitment","Relative Biomass","Static","0.7",19,0.783059290076554,0.783059290076554,0.783059290076554,"Deterministic"
"421","Canary Rockfish","Recruitment","Relative Biomass","Static","0.7",20,0.789869787692034,0.789869787692034,0.789869787692034,"Deterministic"
"1061","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",0,1,1,1,"Deterministic"
"1071","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",1,0.99826860858438,0.99826860858438,0.99826860858438,"Deterministic"
"1081","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",2,0.999074621701588,0.999074621701588,0.999074621701588,"Deterministic"
"1091","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",3,1.002129218023,1.002129218023,1.002129218023,"Deterministic"
"1101","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",4,1.0071751496473,1.0071751496473,1.0071751496473,"Deterministic"
"1111","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",5,1.01398099021619,1.01398099021619,1.01398099021619,"Deterministic"
"11210","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",6,1.02233701665242,1.02233701665242,1.02233701665242,"Deterministic"
"1135","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",7,1.03205219226461,1.03205219226461,1.03205219226461,"Deterministic"
"1141","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",8,1.04295158818431,1.04295158818431,1.04295158818431,"Deterministic"
"1151","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",9,1.05487430708737,1.05487430708737,1.05487430708737,"Deterministic"
"1161","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",10,1.06767202411162,1.06767202411162,1.06767202411162,"Deterministic"
"1171","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",11,1.07934736933074,1.07934736933074,1.07934736933074,"Deterministic"
"1181","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",12,1.08973356939183,1.08973356939183,1.08973356939183,"Deterministic"
"1191","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",13,1.09867096844559,1.09867096844559,1.09867096844559,"Deterministic"
"12010","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",14,1.10600809659061,1.10600809659061,1.10600809659061,"Deterministic"
"1219","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",15,1.11160214810068,1.11160214810068,1.11160214810068,"Deterministic"
"1221","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",16,1.11531917472585,1.11531917472585,1.11531917472585,"Deterministic"
"1231","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",17,1.11703431120036,1.11703431120036,1.11703431120036,"Deterministic"
"1241","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",18,1.11663214986226,1.11663214986226,1.11663214986226,"Deterministic"
"1251","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",19,1.11400729331295,1.11400729331295,1.11400729331295,"Deterministic"
"1261","Canary Rockfish","Recruitment","Relative Biomass","Transient","0.7",20,1.1090651571021,1.1090651571021,1.1090651571021,"Deterministic"
"7781","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",0,1,1,1,"Deterministic"
"7791","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",1,1.05081558768619,1.05081558768619,1.05081558768619,"Deterministic"
"7801","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",2,1.09856031622345,1.09856031622345,1.09856031622345,"Deterministic"
"7811","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",3,1.14226824442143,1.14226824442143,1.14226824442143,"Deterministic"
"7821","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",4,1.18094836785839,1.18094836785839,1.18094836785839,"Deterministic"
"7831","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",5,1.21360493124629,1.21360493124629,1.21360493124629,"Deterministic"
"7841","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",6,1.2392603928537,1.2392603928537,1.2392603928537,"Deterministic"
"7851","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",7,1.25699417429336,1.25699417429336,1.25699417429336,"Deterministic"
"7861","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",8,1.26598746902806,1.26598746902806,1.26598746902806,"Deterministic"
"7871","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",9,1.26556378520781,1.26556378520781,1.26556378520781,"Deterministic"
"7881","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",10,1.25522577760987,1.25522577760987,1.25522577760987,"Deterministic"
"7891","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",11,1.23468958700303,1.23468958700303,1.23468958700303,"Deterministic"
"7901","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",12,1.13227570704364,1.13227570704364,1.13227570704364,"Deterministic"
"7911","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",13,1.04562502557927,1.04562502557927,1.04562502557927,"Deterministic"
"7921","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",14,0.971728134870192,0.971728134870192,0.971728134870192,"Deterministic"
"7931","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",15,0.908130548791499,0.908130548791499,0.908130548791499,"Deterministic"
"7941","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",16,0.852811777271605,0.852811777271605,0.852811777271605,"Deterministic"
"7951","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",17,0.804103097514645,0.804103097514645,0.804103097514645,"Deterministic"
"7961","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",18,0.760642987852555,0.760642987852555,0.760642987852555,"Deterministic"
"7971","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",19,0.721335930982375,0.721335930982375,0.721335930982375,"Deterministic"
"7981","Canary Rockfish","Recruitment","Relative Yield","Static","0.7",20,0.685304230279267,0.685304230279267,0.685304230279267,"Deterministic"
"8621","Canary Rockfish","Recruitment","Relative Yield","Transient","0.7",0,1,1,1,"Deterministic"
"8631","Canary Rockfish","Recruitment","Relative Yield","Transient","0.7",1,0.929106425561124,0.929106425561124,0.929106425561124,"Deterministic"
"8641","Canary Rockfish","Recruitment","Relative Yield","Transient","0.7",2,0.863577616576142,0.863577616576142,0.863577616576142,"Deterministic"
"8651","Canary Rockfish","Recruitment","Relative Yield","Transient","0.7",3,0.802852326005243,0.802852326005243,0.802852326005243,"Deterministic"
"8661","Canary Rockfish","Recruitment","Relative Yield","Transient","0.7",4,0.746442227251436,0.746442227251436,0.746442227251436,"Deterministic"
"8671","Canary Rockfish","Recruitment","Relative Yield","Transient","0.7",5,0.693920974059168,0.693920974059168,0.693920974059168,"Deterministic"
"8681","Canary Rockfish","Recruitment","Relative Yield","Transient","0.7",6,0.644915237308872,0.644915237308872,0.644915237308872,"Deterministic"
"8691","Canary Rockfish","Recruitment","Relative Yield","Transient","0.7",7,0.599109805856885,0.599109805856885,0.599109805856885,"Deterministic"
"8701","Canary Rockfish","Recruitment","Relative Yield","Transient","0.7",8,0.556246383449982,0.556246383449982,0.556246383449982,"Deterministic"
"8711","Canary Rockfish","Recruitment","Relative Yield","Transient","0.7",9,0.516111185301512,0.516111185301512,0.516111185301512,"Deterministic"
"8721","Canary Rockfish","Recruitment","Relative Yield","Transient","0.7",10,0.562969940314473,0.562969940314473,0.562969940314473,"Deterministic"
"8731","Canary Rockfish","Recruitment","Relative Yield","Transient","0.7",11,0.61227748355399,0.61227748355399,0.61227748355399,"Deterministic"
"8741","Canary Rockfish","Recruitment","Relative Yield","Transient","0.7",12,0.663802684099664,0.663802684099664,0.663802684099664,"Deterministic"
"8751","Canary Rockfish","Recruitment","Relative Yield","Transient","0.7",13,0.717244631548523,0.717244631548523,0.717244631548523,"Deterministic"
"8761","Canary Rockfish","Recruitment","Relative Yield","Transient","0.7",14,0.772225655580642,0.772225655580642,0.772225655580642,"Deterministic"
"8771","Canary Rockfish","Recruitment","Relative Yield","Transient","0.7",15,0.828283883810316,0.828283883810316,0.828283883810316,"Deterministic"
